Compound	H	C	N	O	P	S	Cl	Co	Se
3'-Hydroxy-N-methyl-(S)-coclaurine_C18H21NO4_315.147003	21	108	7	32	0	0	0	0	0
"5,6,8,14-Tetradehydro-3,6-dimethoxy-17-methyl-morphinan-4,7-diol_C19H23NO4_329.162689"	23	114	7	32	0	0	0	0	0
(R)-N-Methylcoclaurine_C18H21NO3_299.152100	21	108	7	24	0	0	0	0	0
10-Hydroxydihydrosanguinarine_C20H15NO5_349.095001	15	120	7	40	0	0	0	0	0
3-Hexaprenyl-4-hydroxy-5-methoxybenzoate_C38H56O4_576.417786	56	228	0	32	0	0	0	0	0
Palmatine_C21H22NO4_352.154785	22	126	7	32	0	0	0	0	0
Dihydromacarpine_C22H19NO6_393.121185	19	132	7	48	0	0	0	0	0
7-O-Acetylsalutaridinol_C21H25NO5_371.173187	25	126	7	40	0	0	0	0	0
Chenodeoxycholoyl-CoA_C45H74N7O19P3S_1141.396973	74	270	49	152	45	16	0	0	0
Phytoene_C40H64_544.500916	64	240	0	0	0	0	0	0	0
Phytofluene_C40H62_542.485229	62	240	0	0	0	0	0	0	0
"Cholesterol-5beta,6beta-epoxide_C27H46O2_402.349701"	46	162	0	16	0	0	0	0	0
"Cholesterol-5alpha,6beta-epoxide_C27H46O2_402.349701"	46	162	0	16	0	0	0	0	0
"3beta,5alpha,6beta-Cholestanetriol_C27H48O3_420.360199"	48	162	0	24	0	0	0	0	0
zeta-Carotene_C40H60_540.469482	60	240	0	0	0	0	0	0	0
Neurosporene_C40H58_538.453918	58	240	0	0	0	0	0	0	0
Lycopene_C40H56_536.438110	56	240	0	0	0	0	0	0	0
alpha-Carotene_C40H56_536.438171	56	240	0	0	0	0	0	0	0
beta-Zeacarotene_C40H58_538.453918	58	240	0	0	0	0	0	0	0
gamma-Carotene_C40H56_536.438171	56	240	0	0	0	0	0	0	0
Zymosterol_C27H44O_384.339203	44	162	0	8	0	0	0	0	0
"5alpha-Cholesta-7,24-dien-3beta-ol_C27H44O_384.339203"	44	162	0	8	0	0	0	0	0
"Ergosta-5,7,22,24(28)-tetraen-3beta-ol_C28H42O_394.323608"	42	168	0	8	0	0	0	0	0
Vitamin+D2_C28H44O_396.339111	44	168	0	8	0	0	0	0	0
Stigmasterol_C29H48O_412.370392	48	174	0	8	0	0	0	0	0
Vitamin+D3_C27H44O_384.339203	44	162	0	8	0	0	0	0	0
"3alpha,7alpha,26-Trihydroxy-5beta-cholestane_C27H48O3_420.360291"	48	162	0	24	0	0	0	0	0
"3alpha,7alpha-Dihydroxy-5beta-cholestan-26-al_C27H46O3_418.344696"	46	162	0	24	0	0	0	0	0
"3alpha,7alpha,12alpha,26-Tetrahydroxy-5beta-cholestane_C27H48O4_436.355194"	48	162	0	32	0	0	0	0	0
"3alpha,7alpha-Dihydroxy-5beta-cholest-24-enoyl-CoA_C48H78N7O19P3S_1181.428223"	78	288	49	152	45	16	0	0	0
"3alpha,7alpha,24-Trihydroxy-5beta-cholestanoyl-CoA_C48H80N7O20P3S_1199.438721"	80	288	49	160	45	16	0	0	0
"3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA_C48H78N7O20P3S_1197.423096"	78	288	49	160	45	16	0	0	0
"3alpha,7alpha,12alpha,24-Tetrahydroxy-5beta-cholestanoyl-CoA_C48H80N7O21P3S_1215.433472"	80	288	49	168	45	16	0	0	0
7alpha-Hydroxy-5beta-cholestan-3-one_C27H46O2_402.349792	46	162	0	16	0	0	0	0	0
"3alpha,7alpha-Dihydroxy-5beta-cholestane_C27H48O2_404.365387"	48	162	0	16	0	0	0	0	0
"7alpha,12alpha-Dihydroxy-5beta-cholestan-3-one_C27H46O3_418.344604"	46	162	0	24	0	0	0	0	0
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane_C27H48O3_420.360199"	48	162	0	24	0	0	0	0	0
7alpha-Hydroxycholest-4-en-3-one_C27H44O2_400.334106	44	162	0	16	0	0	0	0	0
"7alpha,12alpha-Dihydroxycholest-4-en-3-one_C27H44O3_416.329010"	44	162	0	24	0	0	0	0	0
"7alpha,12alpha-Dihydroxy-5alpha-cholestan-3-one_C27H46O3_418.344604"	46	162	0	24	0	0	0	0	0
"3alpha,7alpha,12alpha-Trihydroxy-5beta-cholest-24-enoyl-CoA_C48H78N7O20P3S_1197.422974"	78	288	49	160	45	16	0	0	0
Chenodeoxyglycocholoyl-CoA_C45H74N7O19P3S_1141.397095	74	270	49	152	45	16	0	0	0
Chenodeoxyglycocholate_C26H43NO5_449.314087	43	156	7	40	0	0	0	0	0
Taurodeoxycholate_C26H45NO6S_499.296692	45	156	7	48	0	16	0	0	0
Glycodeoxycholate_C26H43NO5_449.314087	43	156	7	40	0	0	0	0	0
Taurochenodeoxycholate_C26H45NO6S_499.296692	45	156	7	48	0	16	0	0	0
Glycochenodeoxycholate_C26H43NO5_449.314087	43	156	7	40	0	0	0	0	0
"3alpha,7alpha,12alpha-Trihydroxy-5beta-24-oxocholestanoyl-CoA_C48H78N7O21P3S_1213.417969"	78	288	49	168	45	16	0	0	0
5beta-Cyprinolsulfate_C27H48O8S_532.306885	48	162	0	64	0	16	0	0	0
Oxaloglutarate_C7H8O7_204.026993	8	42	0	56	0	0	0	0	0
N-Acetyl-L-2-amino-6-oxopimelate_C9H13NO6_231.074295	13	54	7	48	0	0	0	0	0
delta(L-2-Aminoadipyl)-L-cysteinyl-D-valine_C14H25N3O6S_363.146393	25	84	21	48	0	16	0	0	0
Isopenicillin+N_C14H21N3O6S_359.115112	21	84	21	48	0	16	0	0	0
L-2-Aminoadipate+adenylate_C16H23N6O10P_490.121185	23	96	42	80	15	0	0	0	0
4-Hydroxycinnamyl+aldehyde_C9H8O2_148.052399	8	54	0	16	0	0	0	0	0
Sinapoyl+aldehyde_C11H12O4_208.073593	12	66	0	32	0	0	0	0	0
5-Hydroxyferulate_C10H10O5_210.052902	10	60	0	40	0	0	0	0	0
Malonylapiin_C29H30O17_650.148193	30	174	0	136	0	0	0	0	0
Quercetin+3-O-glucoside_C21H20O12_464.095306	20	126	0	96	0	0	0	0	0
Rutin_C27H30O16_610.153198	30	162	0	128	0	0	0	0	0
4-Hydroxystyrene_C8H8O_120.057503	8	48	0	8	0	0	0	0	0
Eriodictyol_C15H12O6_288.063385	12	90	0	48	0	0	0	0	0
Homoisocitrate_C7H10O7_206.042694	10	42	0	56	0	0	0	0	0
2-Hexaprenyl-6-methoxyphenol_C37H56O2_532.427979	56	222	0	16	0	0	0	0	0
"2-Hexaprenyl-6-methoxy-1,4-benzoquinone_C37H54O3_546.407288"	54	222	0	24	0	0	0	0	0
"2-Hexaprenyl-3-methyl-6-methoxy-1,4-benzoquinone_C38H56O3_560.422913"	56	228	0	24	0	0	0	0	0
"2-Hexaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone_C38H56O4_576.417786"	56	228	0	32	0	0	0	0	0
3-Octaprenyl-4-hydroxybenzoate_C47H70O3_682.532715	70	282	0	24	0	0	0	0	0
2-Octaprenylphenol_C46H70O_638.542786	70	276	0	8	0	0	0	0	0
2-Octaprenyl-6-hydroxyphenol_C46H70O2_654.537720	70	276	0	16	0	0	0	0	0
2-Octaprenyl-6-methoxyphenol_C47H72O2_668.553284	72	282	0	16	0	0	0	0	0
"2-Octaprenyl-6-methoxy-1,4-benzoquinone_C47H70O3_682.532715"	70	282	0	24	0	0	0	0	0
"2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone_C48H72O3_696.548279"	72	288	0	24	0	0	0	0	0
"2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone_C48H72O4_712.543274"	72	288	0	32	0	0	0	0	0
"2-Succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate_C11H12O6_240.063400"	12	66	0	48	0	0	0	0	0
Enterochelin_C30H27N3O15_669.144226	27	180	21	120	0	0	0	0	0
cis-2-Hydroxycinnamate_C9H8O3_164.047394	8	54	0	24	0	0	0	0	0
cis-beta-D-Glucosyl-2-hydroxycinnamate_C15H18O8_326.100189	18	90	0	64	0	0	0	0	0
Polyisopentenylpyrophosphate_C5H12O7P2_246.005905	12	30	0	56	30	0	0	0	0
Vitamin+K+epoxide_C31H46O3_466.344696	46	186	0	24	0	0	0	0	0
Reduced+Vitamin+K_C31H50O3_470.376007	50	186	0	24	0	0	0	0	0
Coumarin_C9H6O2_146.036804	6	54	0	16	0	0	0	0	0
4-Hydroxycinnamyl+alcohol+4-D-glucoside_C15H20O7_312.120911	20	90	0	56	0	0	0	0	0
N-Acetyl-D-muramoate_C11H19NO8_293.111115	19	66	7	64	0	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-L-lysyl-_C86H143N7O21P2_1671.979858	143	516	49	168	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C94H156N8O26P2_1875.058838	156	564	56	208	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C94H157N9O25P2_1874.074829	157	564	63	200	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C104H172N14O30P2_2159.181641	172	624	98	240	30	0	0	0	0
UDP-N-acetylmuramoyl-L-alanyl-gamma-D-glutamyl-L-lysine_C34H55N7O24P2_1007.277405	55	204	49	192	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C94H157N9O25P2_1874.074463	157	564	63	200	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C104H172N14O30P2_2159.181885	172	624	98	240	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-L-alanyl-D-glutamyl-meso-_C87H143N7O23P2_1715.969238	143	522	49	184	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C95H156N8O28P2_1919.048584	156	570	56	224	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C95H157N9O27P2_1918.064575	157	570	63	216	30	0	0	0	0
Undecaprenyl-diphospho-N-acetylmuramoyl-(N-acetylglucosamine)-L-_C105H172N14O32P2_2203.171631	172	630	98	256	30	0	0	0	0
"3,3',4'5-Tetrahydroxystilbene_C14H12O4_244.073593"	12	84	0	32	0	0	0	0	0
3-Methoxyapigenin_C16H12O6_300.063385	12	96	0	48	0	0	0	0	0
Kaempferol_C15H10O6_286.047791	10	90	0	48	0	0	0	0	0
Pelargonidin_C15H11O5_271.060699	11	90	0	40	0	0	0	0	0
Cyanidin_C15H11O6_287.055603	11	90	0	48	0	0	0	0	0
Leucocyanidin_C15H14O7_306.073914	14	90	0	56	0	0	0	0	0
Luteoforol_C15H14O6_290.079010	14	90	0	48	0	0	0	0	0
Delphinidin_C15H11O7_303.050415	11	90	0	56	0	0	0	0	0
Leucodelphinidin_C15H14O8_322.068787	14	90	0	64	0	0	0	0	0
Pentahydroxyflavanone_C15H12O7_304.058289	12	90	0	56	0	0	0	0	0
Formamidopyrimidine+nucleoside+triphosphate_C10H18N5O15P3_541.000977	18	60	35	120	45	0	0	0	0
"2,5-Diaminopyrimidine+nucleoside+triphosphate_C9H18N5O14P3_513.006226"	18	54	35	112	45	0	0	0	0
Molybdopterin_C10H14N5O6PS2_395.012207	14	60	35	48	15	32	0	0	0
Dihydroneopterin+phosphate_C9H14N5O7P_335.063110	14	54	35	56	15	0	0	0	0
Neopterin_C9H11N5O4_253.081100	11	54	35	32	0	0	0	0	0
"7,8-Dihydromethanopterin_C30H43N6O16P_774.247070"	43	180	42	128	15	0	0	0	0
Pantothenol_C9H19NO4_205.131393	19	54	7	32	0	0	0	0	0
(S)-2-Aceto-2-hydroxybutanoate_C6H10O4_146.057907	10	36	0	32	0	0	0	0	0
"(R)-2,3-Dihydroxy-3-methylpentanoate_C6H12O4_148.073593"	12	36	0	32	0	0	0	0	0
UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine_C29H51N3O18P2_791.263977	51	174	21	144	30	0	0	0	0
3-Deoxy-D-manno-octulosonyl-lipid+IV(A)_C76H142N2O30P2_1624.910522	142	456	14	240	30	0	0	0	0
Di[3-deoxy-D-manno-octulosonyl]-lipid+IV(A)_C84H154N2O37P2_1844.968628	154	504	14	296	30	0	0	0	0
Di[3-deoxy-D-manno-octulosonyl]-lipid+A_C110H202N2O39P2_2237.333252	202	660	14	312	30	0	0	0	0
Dimethylallyltryptophan_C16H20N2O2_272.152496	20	96	14	16	0	0	0	0	0
Elymoclavine_C16H18N2O_254.141907	18	96	14	8	0	0	0	0	0
Iridodial_C10H16O2_168.115005	16	60	0	16	0	0	0	0	0
Iridotrial_C10H14O3_182.094299	14	60	0	24	0	0	0	0	0
Deoxyloganin_C17H26O9_374.157715	26	102	0	72	0	0	0	0	0
Myrcene_C10H16_136.125198	16	60	0	0	0	0	0	0	0
PR-toxin_C17H20O6_320.125885	20	102	0	48	0	0	0	0	0
Nivalenol_C15H20O7_312.120911	20	90	0	56	0	0	0	0	0
Abscisate_C15H20O4_264.136108	20	90	0	32	0	0	0	0	0
Tetrahymanol_C30H52O_428.401703	52	180	0	8	0	0	0	0	0
Pimaradiene_C20H32_272.250397	32	120	0	0	0	0	0	0	0
Abietate_C20H30O2_302.224609	30	120	0	16	0	0	0	0	0
Aphidicolin_C20H34O4_338.245697	34	120	0	32	0	0	0	0	0
ent-Copalyl+diphosphate_C20H36O7P2_450.193512	36	120	0	56	30	0	0	0	0
ent-Kaurene_C20H32_272.250397	32	120	0	0	0	0	0	0	0
Aconitine_C34H47NO11_645.314819	47	204	7	88	0	0	0	0	0
Veatchine_C22H33NO2_343.251190	33	132	7	16	0	0	0	0	0
Gibberellin+A12+aldehyde_C20H28O3_316.203796	28	120	0	24	0	0	0	0	0
Gibberellin+A53_C20H28O5_348.193604	28	120	0	40	0	0	0	0	0
Gibberellin+A44+diacid_C20H28O6_364.188507	28	120	0	48	0	0	0	0	0
Gibberellin+A29_C19H24O6_348.157288	24	114	0	48	0	0	0	0	0
Zeaxanthin_C40H56O2_568.427979	56	240	0	16	0	0	0	0	0
Nerolidyl+diphosphate_C15H28O7P2_382.131012	28	90	0	56	30	0	0	0	0
"2,5-Diamino-6-(5'-triphosphoryl-3',4'-trihydroxy-2'-oxopentyl)-_C9H18N5O14P3_513.006104"	18	54	35	112	45	0	0	0	0
"6-(3'-Triphosphoryl-1'-methylglyceryl)-7-methyl-7,8-dihydrobiopterin_C11H20N5O13P3_523.026917"	20	66	35	104	45	0	0	0	0
(S)-Norcoclaurine_C16H17NO3_271.120911	17	96	7	24	0	0	0	0	0
(S)-Coclaurine_C17H19NO3_285.136505	19	102	7	24	0	0	0	0	0
Sanguinarine_C20H14NO4_332.092285	14	120	7	32	0	0	0	0	0
(S)-cis-N-methylstylopine_C20H20NO4_338.139191	20	120	7	32	0	0	0	0	0
Macarpine_C22H18NO6_392.113403	18	132	7	48	0	0	0	0	0
"1,2-Dehydroreticuline_C19H22NO4_328.154785"	22	114	7	32	0	0	0	0	0
"7,8-Didehydro-4,5-epoxy-3-methoxy-17-methoxy-(5_)-morphinan-6-one_C18H19NO3_297.136505"	19	108	7	24	0	0	0	0	0
Neopinone_C18H19NO3_297.136505	19	108	7	24	0	0	0	0	0
Thebaine_C19H21NO3_311.152100	21	114	7	24	0	0	0	0	0
Codeine_C18H21NO3_299.152100	21	108	7	24	0	0	0	0	0
Oripavine_C18H19NO3_297.136505	19	108	7	24	0	0	0	0	0
Senecionine_C18H25NO5_335.173187	25	108	7	40	0	0	0	0	0
Retronecine_C8H13NO2_155.094604	13	48	7	16	0	0	0	0	0
1-Methylpyrrolinium_C5H10N_84.081299	10	30	7	0	0	0	0	0	0
Hygrine_C8H15NO_141.115402	15	48	7	8	0	0	0	0	0
Anabasine_C10H14N2_162.115707	14	60	14	0	0	0	0	0	0
Pelletierine_C8H15NO_141.115402	15	48	7	8	0	0	0	0	0
Anapheline_C13H24N2O_224.188904	24	78	14	8	0	0	0	0	0
N-Methylpelletierine_C9H17NO_155.130997	17	54	7	8	0	0	0	0	0
Slaframine_C12H20N2O3_240.147400	20	72	14	24	0	0	0	0	0
"3,4-Dihydroxystyrene_C8H8O2_136.052505"	8	48	0	16	0	0	0	0	0
Lauroyl-KDO2-lipid+IV(A)_C96H176N2O38P2_2027.135254	176	576	14	304	30	0	0	0	0
(-)-beta-Pinene_C10H16_136.125198	16	60	0	0	0	0	0	0	0
(-)-alpha-Pinene_C10H16_136.125198	16	60	0	0	0	0	0	0	0
Chelirubine_C21H16NO5_362.102814	16	126	7	40	0	0	0	0	0
Homospermidine_C8H21N3_159.173599	21	48	21	0	0	0	0	0	0
(+)-delta-Cadinene_C15H24_204.187805	24	90	0	0	0	0	0	0	0
ADP-D-glycero-D-manno-heptose_C17H27N5O16P2_619.092590	27	102	35	128	30	0	0	0	0
ADP-L-glycero-D-manno-heptose_C17H27N5O16P2_619.092590	27	102	35	128	30	0	0	0	0
Guattegaumerine_C36H40N2O6_596.288574	40	216	14	48	0	0	0	0	0
2'-Norberbamunine_C35H38N2O6_582.272888	38	210	14	48	0	0	0	0	0
Obamegine_C36H38N2O6_594.272888	38	216	14	48	0	0	0	0	0
Aromoline_C36H38N2O6_594.272888	38	216	14	48	0	0	0	0	0
(R)-Norreticuline_C18H21NO4_315.147003	21	108	7	32	0	0	0	0	0
(S)-6-O-Methylnorlaudanosoline_C17H19NO4_301.131409	19	102	7	32	0	0	0	0	0
(S)-Nororientaline_C18H21NO4_315.147003	21	108	7	32	0	0	0	0	0
(S)-3'-Hydroxycoclaurine_C17H19NO4_301.131409	19	102	7	32	0	0	0	0	0
(S)-Norreticuline_C18H21NO4_315.147003	21	108	7	32	0	0	0	0	0
Nornicotine_C9H12N2_148.100006	12	54	14	0	0	0	0	0	0
Ajmaline_C20H26N2O2_326.199310	26	120	14	16	0	0	0	0	0
Isosalipurpol_C15H12O5_272.068512	12	90	0	40	0	0	0	0	0
(+)-Catechin_C15H14O6_290.079010	14	90	0	48	0	0	0	0	0
Genistein_C15H10O5_270.052887	10	90	0	40	0	0	0	0	0
Penicillin+N_C14H21N3O6S_359.115112	21	84	21	48	0	16	0	0	0
Deacetoxycephalosporin+C_C14H19N3O6S_357.099487	19	84	21	48	0	16	0	0	0
Cephamycin+C_C16H22N4O9S_446.110687	22	96	28	72	0	16	0	0	0
O-Carbamoyl-deacetylcephalosporin+C_C15H20N4O8S_416.100189	20	90	28	64	0	16	0	0	0
7a-Hydroxy-o-carbamoyl-deacetylcephalosporin+C_C15H20N4O9S_432.095093	20	90	28	72	0	16	0	0	0
Tetracycline_C22H24N2O8_444.153198	24	132	14	64	0	0	0	0	0
Chlortetracycline_C22H23ClN2O8_478.114105	23	132	14	64	0	0	17	0	0
NDP-N-methyl-L-glucosamine_C12H24NO14P2R_468.066986	24	72	7	112	30	0	0	0	0
Erythromycin+C_C36H65NO13_719.445496	65	216	7	104	0	0	0	0	0
Oxytetracycline_C22H24N2O9_460.148102	24	132	14	72	0	0	0	0	0
Malonamoyl-CoA_C24H39N8O18P3S_852.131470	39	144	56	144	45	16	0	0	0
4-Dedimethylamine-4-oxo-anhydro-7-Cl-tetracycline_C20H14ClNO8_431.040710	14	120	7	64	0	0	17	0	0
4-Dedimethylamino-4-oxo-anhydrotetracycline_C20H15NO8_397.079712	15	120	7	64	0	0	0	0	0
4-Hydroxy-6-methylpretetramide_C20H15NO7_381.084808	15	120	7	56	0	0	0	0	0
6-Methylpretetramide_C20H15NO6_365.089905	15	120	7	48	0	0	0	0	0
3-O-Mycarosylerythronolide+B_C28H50O10_546.340271	50	168	0	80	0	0	0	0	0
Erythromycin+D_C36H65NO12_703.450623	65	216	7	96	0	0	0	0	0
Erythromycin+E_C37H65NO14_747.440430	65	222	7	112	0	0	0	0	0
Erythronolide+B_C21H38O7_402.261688	38	126	0	56	0	0	0	0	0
Erythromycin+B_C37H67NO12_717.466187	67	222	7	96	0	0	0	0	0
4-Dedimethyl-6-dehydro-anhydrotetracycline_C20H18N2O7_398.111298	18	120	14	56	0	0	0	0	0
L-N2-(2-Carboxyethyl)arginine_C9H18N4O4_246.132797	18	54	28	32	0	0	0	0	0
Deoxyguanidinoproclavaminic+acid_C9H16N4O3_228.122299	16	54	28	24	0	0	0	0	0
Guanidinoproclavaminic+acid_C9H16N4O4_244.117203	16	54	28	32	0	0	0	0	0
Proclavaminic+acid_C8H14N2O4_202.095398	14	48	14	32	0	0	0	0	0
Dihydroclavaminic+acid_C8H12N2O4_200.079697	12	48	14	32	0	0	0	0	0
Clavaminic+acid_C8H10N2O4_198.064102	10	48	14	32	0	0	0	0	0
Clavulanate-9-aldehyde_C8H7NO5_197.032501	7	48	7	40	0	0	0	0	0
Clavulanic+acid_C8H9NO5_199.048096	9	48	7	40	0	0	0	0	0
Vancomycin_C66H75Cl2N9O24_1447.429199	75	396	63	192	0	0	34	0	0
Actinorhodine_C32H26O14_634.132324	26	192	0	112	0	0	0	0	0
Vibriobactin_C35H39N5O11_705.264526	39	210	35	88	0	0	0	0	0
Tetracenomycin+C_C23H20O11_472.100403	20	138	0	88	0	0	0	0	0
Spirodilactone_C11H8O4_204.042297	8	66	0	32	0	0	0	0	0
3'-Keto-3'-deoxy-ATP_C10H14N5O13P3_504.979889	14	60	35	104	45	0	0	0	0
3'-Keto-3'-deoxy-AMP_C10H12N5O7P_345.047394	12	60	35	56	15	0	0	0	0
3'-Amino-3'-deoxy-AMP_C10H15N6O6P_346.079010	15	60	42	48	15	0	0	0	0
"N6,N6,O-Trimethylpuromycin-5'-phosphate_C19H24N7O8P_509.142303"	24	114	49	64	15	0	0	0	0
"N-Acetyl-N6,N6,O-tridemethylpuromycin-5'-phosphate_C21H26N7O9P_551.152771"	26	126	49	72	15	0	0	0	0
"N-Acetyl-N6,O-didemethylpuromycin-5'-phosphate_C22H28N7O9P_565.168518"	28	132	49	72	15	0	0	0	0
N-Acetyl-O-demethylpuromycin-5'-phosphate_C23H30N7O9P_579.184204	30	138	49	72	15	0	0	0	0
N-Acetyl-O-demethylpuromycin_C23H29N7O6_499.217804	29	138	49	48	0	0	0	0	0
N-Acetylpuromycin_C24H31N7O6_513.233521	31	144	49	48	0	0	0	0	0
Vinblastine_C46H58N4O9_810.420288	58	276	28	72	0	0	0	0	0
Vincristine_C46H56N4O10_824.399597	56	276	28	80	0	0	0	0	0
dTDP-D-fucose_C16H26N2O15P2_548.080627	26	96	14	120	30	0	0	0	0
Deacetylisoipecoside_C25H33NO11_523.205078	33	150	7	88	0	0	0	0	0
Deacetylipecoside_C25H33NO11_523.205078	33	150	7	88	0	0	0	0	0
Paclitaxel_C47H51NO14_853.330872	51	282	7	112	0	0	0	0	0
7-Aminocephalosporanic+acid_C10H12N2O5S_272.046692	12	60	14	40	0	16	0	0	0
D-glycero-D-manno-Heptose+7-phosphate_C7H15O10P_290.040314	15	42	0	80	15	0	0	0	0
D-glycero-D-manno-Heptose+1-phosphate_C7H15O10P_290.040314	15	42	0	80	15	0	0	0	0
Apigeninidin_C15H11O4_255.065796	11	90	0	32	0	0	0	0	0
Antheraxanthin_C40H56O3_584.422913	56	240	0	24	0	0	0	0	0
delta-Carotene_C40H56_536.438110	56	240	0	0	0	0	0	0	0
Echinenone_C40H54O_550.417419	54	240	0	8	0	0	0	0	0
Lutein_C40H56O2_568.427979	56	240	0	16	0	0	0	0	0
Cyanidin+3-O-glucoside_C21H21O11_449.108307	21	126	0	88	0	0	0	0	0
Neoxanthin_C40H56O4_600.417786	56	240	0	32	0	0	0	0	0
Violaxanthin_C40H56O4_600.417786	56	240	0	32	0	0	0	0	0
Cyanin_C27H31O16_611.161011	31	162	0	128	0	0	0	0	0
Isoliquiritigenin_C15H12O4_256.073608	12	90	0	32	0	0	0	0	0
Luteolinidin_C15H11O5_271.060699	11	90	0	40	0	0	0	0	0
Brassinolide_C28H48O6_480.344910	48	168	0	48	0	0	0	0	0
Ajmalicine_C21H24N2O3_352.178589	24	126	14	24	0	0	0	0	0
Catharanthine_C21H24N2O2_336.183685	24	126	14	16	0	0	0	0	0
Sarpagine_C19H22N2O2_310.168091	22	114	14	16	0	0	0	0	0
Serpentine_C21H20N2O3_348.147308	20	126	14	24	0	0	0	0	0
Tabersonine_C21H24N2O2_336.183685	24	126	14	16	0	0	0	0	0
Tubulosine_C29H37N3O3_475.283386	37	174	21	24	0	0	0	0	0
Afzelechin_C15H14O5_274.084106	14	90	0	40	0	0	0	0	0
Alangimarckine_C29H37N3O3_475.283386	37	174	21	24	0	0	0	0	0
Alangiside_C25H31NO10_505.194611	31	150	7	80	0	0	0	0	0
Tetrahydrofolyl-[Glu](2)_C24H30N8O9_574.213379	30	144	56	72	0	0	0	0	0
Ankorine_C19H29NO4_335.209595	29	114	7	32	0	0	0	0	0
Cephaeline_C28H38N2O4_466.283112	38	168	14	32	0	0	0	0	0
Emetine_C29H40N2O4_480.298706	40	174	14	32	0	0	0	0	0
(-)-Epicatechin_C15H14O6_290.079010	14	90	0	48	0	0	0	0	0
Liquiritigenin_C15H12O4_256.073608	12	90	0	32	0	0	0	0	0
Asperuloside_C18H22O11_414.116089	22	108	0	88	0	0	0	0	0
"1,8-Cineole_C10H18O_154.135696"	18	60	0	8	0	0	0	0	0
Pulegone_C10H16O_152.120102	16	60	0	8	0	0	0	0	0
Myricetin_C15H10O8_318.037506	10	90	0	64	0	0	0	0	0
Anatabine_C10H12N2_160.100098	12	60	14	0	0	0	0	0	0
Tricetin_C15H10O7_302.042603	10	90	0	56	0	0	0	0	0
Daidzein_C15H10O4_254.057907	10	90	0	32	0	0	0	0	0
Ferreirin_C16H14O6_302.079010	14	96	0	48	0	0	0	0	0
5-O-Caffeoylshikimic+acid_C16H16O8_336.084503	16	96	0	64	0	0	0	0	0
Acronycine_C20H19NO3_321.136414	19	120	7	24	0	0	0	0	0
Melicopicine_C18H19NO5_329.126312	19	108	7	40	0	0	0	0	0
Rutacridone_C19H17NO3_307.120911	17	114	7	24	0	0	0	0	0
Calystegin+A3_C7H13NO3_159.089600	13	42	7	24	0	0	0	0	0
Ecgonine_C9H15NO3_185.105194	15	54	7	24	0	0	0	0	0
Caffeic+aldehyde_C9H8O3_164.047394	8	54	0	24	0	0	0	0	0
3-Hydroxyindolin-2-one_C8H7NO2_149.047699	7	48	7	16	0	0	0	0	0
4-Amino-4-deoxychorismate_C10H11NO5_225.063797	11	60	7	40	0	0	0	0	0
"trans,trans,cis-Geranylgeranyl+diphosphate_C20H36O7P2_450.193604"	36	120	0	56	30	0	0	0	0
(-)-alpha-Terpineol_C10H18O_154.135803	18	60	0	8	0	0	0	0	0
2-C-Methyl-D-erythritol+4-phosphate_C5H13O7P_216.039902	13	30	0	56	15	0	0	0	0
4-(Cytidine+5'-diphospho)-2-C-methyl-D-erythritol_C14H25N3O14P2_521.080994	25	84	21	112	30	0	0	0	0
2-Phospho-4-(cytidine+5'-diphospho)-2-C-methyl-D-erythritol_C14H26N3O17P3_601.047180	26	84	21	136	45	0	0	0	0
"2-C-Methyl-D-erythritol+2,4-cyclodiphosphate_C5H12O9P2_277.995697"	12	30	0	72	30	0	0	0	0
"D-glycero-D-manno-Heptose+1,7-bisphosphate_C7H16O13P2_370.006592"	16	42	0	104	30	0	0	0	0
Polyneuridine+aldehyde_C21H22N2O3_350.162994	22	126	14	24	0	0	0	0	0
16-Epivellosimine_C19H20N2O_292.157501	20	114	14	8	0	0	0	0	0
Vellosimine_C19H20N2O_292.157501	20	114	14	8	0	0	0	0	0
10-Deoxysarpagine_C19H22N2O_294.173187	22	114	14	8	0	0	0	0	0
