Compound	H	C	N	O	P	S	Cl	Co	Se
Xanthine_C5H4N4O2_152.033401	4	30	28	16	0	0	0	0	0
Carnosine_C9H14N4O3_226.106598	14	54	28	24	0	0	0	0	0
Guanosine_C10H13N5O5_283.091705	13	60	35	40	0	0	0	0	0
1H-Imidazole-4-ethanamine_C5H9N3_111.079597	9	30	21	0	0	0	0	0	0
Mannitol_C6H14O6_182.079102	14	36	0	48	0	0	0	0	0
GDP-glucose_C16H25N5O16P2_605.077026	25	96	35	128	30	0	0	0	0
D-Aspartate_C4H7NO4_133.037506	7	24	7	32	0	0	0	0	0
Progesterone_C21H30O2_314.224487	30	126	0	16	0	0	0	0	0
Cyclohexanone_C6H10O_98.073196	10	36	0	8	0	0	0	0	0
cis-Aconitate_C6H6O6_174.016495	6	36	0	48	0	0	0	0	0
(S)-Lactaldehyde_C3H6O2_74.036797	6	18	0	16	0	0	0	0	0
Prostaglandin+H2_C20H32O5_352.225006	32	120	0	40	0	0	0	0	0
5-Aminolevulinate_C5H9NO3_131.058197	9	30	7	24	0	0	0	0	0
"2,5-Dioxopentanoate_C5H6O4_130.026596"	6	30	0	32	0	0	0	0	0
N-Carbamoylputrescine_C5H13N3O_131.105896	13	30	21	8	0	0	0	0	0
N-Acetylornithine_C7H14N2O3_174.100494	14	42	14	24	0	0	0	0	0
N-Carbamoyl-L-aspartate_C5H8N2O5_176.043304	8	30	14	40	0	0	0	0	0
N-Formimino-L-glutamate_C6H10N2O4_174.064102	10	36	14	32	0	0	0	0	0
5-Methyltetrahydrofolate_C20H25N7O6_459.186615	25	120	49	48	0	0	0	0	0
"5,10-Methenyltetrahydrofolate_C20H22N7O6_456.163086"	22	120	49	48	0	0	0	0	0
alpha-D-Galactose+1-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
"2,3,4,5-Tetrahydropyridine-2-carboxylate_C6H9NO2_127.063301"	9	36	7	16	0	0	0	0	0
Nicotinamide+D-ribonucleotide_C11H15N2O8P_334.056488	15	66	14	64	15	0	0	0	0
dCTP_C9H16N3O13P3_466.989502	16	54	21	104	45	0	0	0	0
dTTP_C10H17N2O14P3_481.989105	17	60	14	112	45	0	0	0	0
dUTP_C9H15N2O14P3_467.973511	15	54	14	112	45	0	0	0	0
Estrone_C18H22O2_270.161987	22	108	0	16	0	0	0	0	0
Retinol_C20H30O_286.229706	30	120	0	8	0	0	0	0	0
Ribitol_C5H12O5_152.068497	12	30	0	40	0	0	0	0	0
Cytidine_C9H13N3O5_243.085602	13	54	21	40	0	0	0	0	0
Bilirubin_C33H36N4O6_584.263428	36	198	28	48	0	0	0	0	0
Carnitine_C7H16NO3_162.113007	16	42	7	24	0	0	0	0	0
Formamide_CH3NO_45.021500	3	6	7	8	0	0	0	0	0
Itaconate_C5H6O4_130.026596	6	30	0	32	0	0	0	0	0
L-Cystine_C6H12N2O4S2_240.023895	12	36	14	32	0	32	0	0	0
Raffinose_C18H32O16_504.168793	32	108	0	128	0	0	0	0	0
(R)-Malate_C4H6O5_134.021500	6	24	0	40	0	0	0	0	0
ADP-glucose_C16H25N5O15P2_589.081970	25	96	35	120	30	0	0	0	0
Allantoate_C4H8N4O4_176.054596	8	24	28	32	0	0	0	0	0
Biliverdin_C33H34N4O6_582.247681	34	198	28	48	0	0	0	0	0
CDP-glucose_C15H25N3O16P2_565.070801	25	90	21	128	30	0	0	0	0
L-Cysteate_C3H7NO5S_169.004501	7	18	7	40	0	16	0	0	0
L-Rhamnose_C6H12O5_164.068497	12	36	0	40	0	0	0	0	0
Propenoate_C3H4O2_72.021103	4	18	0	16	0	0	0	0	0
CDP-glycerol_C12H21N3O13P2_477.054810	21	72	21	104	30	0	0	0	0
D-Ornithine_C5H12N2O2_132.089905	12	30	14	16	0	0	0	0	0
Hexadecanal_C16H32O_240.245407	32	96	0	8	0	0	0	0	0
Hypotaurine_C2H7NO2S_109.019699	7	12	7	16	0	16	0	0	0
Androsterone_C19H30O2_290.224487	30	114	0	16	0	0	0	0	0
Deoxyuridine_C9H12N2O5_228.074707	12	54	14	40	0	0	0	0	0
Itaconyl-CoA_C26H40N7O19P3S_879.131287	40	156	49	152	45	16	0	0	0
Nitric+oxide_NO_29.997999	0	0	7	8	0	0	0	0	0
Pyridoxamine_C8H12N2O2_168.089905	12	48	14	16	0	0	0	0	0
Testosterone_C19H28O2_288.208893	28	114	0	16	0	0	0	0	0
Cob(II)alamin_C62H93CoN13O14P_1333.602417	93	372	91	112	15	0	0	27	0
Cystathionine_C7H14N2O4S_222.067398	14	42	14	32	0	16	0	0	0
Dimethylamine_C2H7N_45.057899	7	12	7	0	0	0	0	0	0
L-Arabinonate_C5H10O6_166.047806	10	30	0	48	0	0	0	0	0
Methylglyoxal_C3H4O2_72.021103	4	18	0	16	0	0	0	0	0
L-Noradrenaline_C8H11NO3_169.073898	11	48	7	24	0	0	0	0	0
Sphingomyelin_C24H49N2O6PR_492.332794	49	144	14	48	15	0	0	0	0
meso-Tartaric+acid_C4H6O6_150.016495	6	24	0	48	0	0	0	0	0
4-Aminobutanal_C4H9NO_87.068398	9	24	7	8	0	0	0	0	0
Benzyl+alcohol_C7H8O_108.057503	8	42	0	8	0	0	0	0	0
Deoxyadenosine_C10H13N5O3_251.101898	13	60	35	24	0	0	0	0	0
Trimethylamine_C3H9N_59.073502	9	18	7	0	0	0	0	0	0
CDP-ethanolamine_C11H20N4O11P2_446.060303	20	66	28	88	30	0	0	0	0
Cyclohexylamine_C6H13N_99.104797	13	36	7	0	0	0	0	0	0
"3',5'-Cyclic+AMP_C10H12N5O6P_329.052612"	12	60	35	48	15	0	0	0	0
Betaine+aldehyde_C5H12NO_102.091904	12	30	7	8	0	0	0	0	0
D-Glyceraldehyde_C3H6O3_90.031700	6	18	0	24	0	0	0	0	0
Guanidinoacetate_C3H7N3O2_117.053802	7	18	21	16	0	0	0	0	0
Phenylacetyl-CoA_C29H42N7O17P3S_885.156982	42	174	49	136	45	16	0	0	0
"Propane-1,2-diol_C3H8O2_76.052399"	8	18	0	16	0	0	0	0	0
Prostaglandin+E2_C20H32O5_352.225006	32	120	0	40	0	0	0	0	0
3-Hydroxybenzoate_C7H6O3_138.031693	6	42	0	24	0	0	0	0	0
Choline+phosphate_C5H15NO4P_184.073898	15	30	7	32	15	0	0	0	0
Sulfoacetaldehyde_C2H4O4S_123.983002	4	12	0	32	0	16	0	0	0
(-)-Ureidoglycolate_C3H6N2O4_134.032806	6	18	14	32	0	0	0	0	0
3-Sulfino-L-alanine_C3H7NO4S_153.009598	7	18	7	32	0	16	0	0	0
UDP-D-galacturonate_C15H22N2O18P2_580.034119	22	90	14	144	30	0	0	0	0
alpha-D-Ribose+1-phosphate_C5H11O8P_230.019196	11	30	0	64	15	0	0	0	0
N-Acetyl-L-glutamate_C7H11NO5_189.063797	11	42	7	40	0	0	0	0	0
Pyridoxine+phosphate_C8H12NO6P_249.040298	12	48	7	48	15	0	0	0	0
3-Hydroxyanthranilate_C7H7NO3_153.042603	7	42	7	24	0	0	0	0	0
4-Hydroxybenzaldehyde_C7H6O2_122.036797	6	42	0	16	0	0	0	0	0
D-Mannose+1-phosphate_C6H13O9P_260.029785	13	36	0	72	15	0	0	0	0
Indole-3-acetaldehyde_C10H9NO_159.068405	9	60	7	8	0	0	0	0	0
Long-chain+fatty+acid_C3H5O2R_73.028999	5	18	0	16	0	0	0	0	0
Prostaglandin+F2alpha_C20H34O5_354.240601	34	120	0	40	0	0	0	0	0
4-Hydroxyphenylacetate_C8H8O3_152.047394	8	48	0	24	0	0	0	0	0
5-Hydroxy-L-tryptophan_C11H12N2O3_220.084793	12	66	14	24	0	0	0	0	0
D-Mannitol+1-phosphate_C6H15O9P_262.045410	15	36	0	72	15	0	0	0	0
N-Acetyl-D-mannosamine_C8H15NO6_221.089996	15	48	7	48	0	0	0	0	0
Pyridoxamine+phosphate_C8H13N2O5P_248.056198	13	48	14	40	15	0	0	0	0
4-Hydroxymandelonitrile_C8H7NO2_149.047699	7	48	7	16	0	0	0	0	0
4-Methylene-L-glutamate_C6H9NO4_159.053207	9	36	7	32	0	0	0	0	0
